name,date,average_price
Etherium,2022-04-21,"$2,987.48"
Etherium,2022-04-20,"$3,077.75"
Etherium,2022-04-19,"$3,104.11"
Etherium,2022-04-18,"$3,057.61"
Etherium,2022-04-17,"$2,993.40"
Etherium,2022-04-16,"$3,062.31"
Etherium,2022-04-15,"$3,040.92"
Etherium,2022-04-14,"$3,019.91"
Etherium,2022-04-13,"$3,118.34"
Etherium,2022-04-12,"$3,030.38"
Etherium,2022-04-11,"$2,981.05"
Etherium,2022-04-10,"$3,211.87"
Etherium,2022-04-09,"$3,261.92"
Etherium,2022-04-08,"$3,192.07"
Etherium,2022-04-07,"$3,233.27"
Etherium,2022-04-06,"$3,171.69"
Etherium,2022-04-05,"$3,411.79"
Etherium,2022-04-04,"$3,521.24"
Etherium,2022-04-03,"$3,522.83"
Etherium,2022-04-02,"$3,445.06"
Etherium,2022-04-01,"$3,449.55"
Etherium,2022-03-31,"$3,281.64"
Etherium,2022-03-30,"$3,385.16"
Etherium,2022-03-29,"$3,401.99"
Etherium,2022-03-28,"$3,336.63"
Etherium,2022-03-27,"$3,291.58"
Etherium,2022-03-26,"$3,143.18"
Etherium,2022-03-25,"$3,106.67"
Etherium,2022-03-24,"$3,108.06"
Etherium,2022-03-23,"$3,031.07"
Etherium,2022-03-22,"$2,973.13"
Etherium,2022-03-21,"$2,897.98"
Etherium,2022-03-20,"$2,860.46"
Etherium,2022-03-19,"$2,946.26"
Etherium,2022-03-18,"$2,945.34"
Etherium,2022-03-17,"$2,814.85"
Etherium,2022-03-16,"$2,772.06"
Etherium,2022-03-15,"$2,620.15"
Etherium,2022-03-14,"$2,590.70"
Etherium,2022-03-13,"$2,518.94"
Etherium,2022-03-12,"$2,574.75"
Etherium,2022-03-11,"$2,559.56"
Etherium,2022-03-10,"$2,608.05"
Etherium,2022-03-09,"$2,729.78"
Etherium,2022-03-08,"$2,576.75"
Etherium,2022-03-07,"$2,497.77"
Etherium,2022-03-06,"$2,555.04"
Etherium,2022-03-05,"$2,664.83"
Etherium,2022-03-04,"$2,617.16"
